Design Signal Pad Name,IO Power Group,PUPD State During HHV,PUPD State After HHV,IO Power Supply Name,IO Power Setting,Required Voltage Level,Ball Name,Mode Interface Name,Mode Signal Name,Mode Type,User Checked PU,User Checked PD,User Checked RX,User Requirement Name
vout1_d10,vout1,PD,PD,vddshv2,3.3,3.3,D7,GPIO8,gpio8_10,,false,false,true,GPIO8
vout1_d11,vout1,PD,PD,vddshv2,3.3,3.3,D8,GPIO8,gpio8_11,,false,false,true,GPIO8
vout1_d18,vout1,PD,PD,vddshv2,3.3,3.3,A7,GPIO8,gpio8_18,,false,false,true,GPIO8
mcasp1_aclkr,general,PD,PD,vddshv3,3.3,3.3,B14,GPIO5,gpio5_0,,false,false,true,GPIO5
mcasp1_axr3,general,PD,PD,vddshv3,3.3,3.3,J11,GPIO5,gpio5_5,,false,false,false,GPIO5
mcasp1_axr5,general,PD,PD,vddshv3,3.3,3.3,F13,GPIO5,gpio5_7,,true,false,false,GPIO5
uart3_rxd,rgmii,PD,PD,vddshv9,3.3,3.3,V2,GPIO5,gpio5_18,,false,true,true,GPIO5
uart3_txd,rgmii,PD,PD,vddshv9,3.3,3.3,Y1,GPIO5,gpio5_19,,false,true,true,GPIO5
mcasp1_axr13,general,PD,PD,vddshv3,3.3,3.3,A13,GPIO6,gpio6_4,,true,false,true,GPIO6
mcasp1_axr14,general,PD,PD,vddshv3,3.3,3.3,G14,GPIO6,gpio6_5,,false,false,true,GPIO6
mcasp1_axr15,general,PD,PD,vddshv3,3.3,3.3,F14,GPIO6,gpio6_6,,false,false,true,GPIO6
gpio6_16,general,PU,PU,vddshv3,3.3,3.3,F21,GPIO6,gpio6_16,,true,false,true,GPIO6
xref_clk0,general,PD,PD,vddshv3,3.3,3.3,D18,GPIO6,gpio6_17,,false,false,true,GPIO6
xref_clk1,general,PD,PD,vddshv3,3.3,3.3,E17,GPIO6,gpio6_18,,true,false,true,GPIO6
xref_clk3,general,PD,PD,vddshv3,3.3,3.3,C23,GPIO6,gpio6_20,,false,false,true,GPIO6
hdmi1_data2x,hdmi,-,-,vdda_hdmi,1.8,3.3,AG19,HDMI,hdmi1_data2x,,false,false,false,MyHDMI1
hdmi1_data2y,hdmi,-,-,vdda_hdmi,1.8,3.3,AH19,HDMI,hdmi1_data2y,,false,false,false,MyHDMI1
hdmi1_data1x,hdmi,-,-,vdda_hdmi,1.8,3.3,AG18,HDMI,hdmi1_data1x,,false,false,false,MyHDMI1
hdmi1_data1y,hdmi,-,-,vdda_hdmi,1.8,3.3,AH18,HDMI,hdmi1_data1y,,false,false,false,MyHDMI1
hdmi1_data0x,hdmi,-,-,vdda_hdmi,1.8,3.3,AG17,HDMI,hdmi1_data0x,,false,false,false,MyHDMI1
hdmi1_data0y,hdmi,-,-,vdda_hdmi,1.8,3.3,AH17,HDMI,hdmi1_data0y,,false,false,false,MyHDMI1
hdmi1_clockx,hdmi,-,-,vdda_hdmi,1.8,3.3,AG16,HDMI,hdmi1_clockx,,false,false,false,MyHDMI1
hdmi1_clocky,hdmi,-,-,vdda_hdmi,1.8,3.3,AH16,HDMI,hdmi1_clocky,,false,false,false,MyHDMI1
dcan1_rx,general,PU,PU,vddshv3,3.3,3.3,G19,HDMI,hdmi1_cec,,false,false,true,MyHDMI1
dcan1_tx,general,PU,PU,vddshv3,3.3,3.3,G20,HDMI,hdmi1_hpd,,false,false,true,MyHDMI1
i2c2_sda,general,OFF,OFF,vddshv3,3.3,3.3,C25,HDMI,hdmi1_ddc_scl,,true,false,true,MyHDMI1
i2c2_scl,general,OFF,OFF,vddshv3,3.3,3.3,F17,HDMI,hdmi1_ddc_sda,,true,false,true,MyHDMI1
gpmc_a0,gpmc,PD,PD,vddshv10,3.3,3.3,R6,I2C4,i2c4_scl,,false,false,true,I2C4
gpmc_a1,gpmc,PD,PD,vddshv10,3.3,3.3,T9,I2C4,i2c4_sda,,false,false,true,I2C4
mcasp1_axr1,general,PD,PD,vddshv3,3.3,3.3,F12,I2C5,i2c5_scl,,true,false,true,I2C5
mcasp1_axr0,general,PD,PD,vddshv3,3.3,3.3,G12,I2C5,i2c5_sda,,true,false,true,I2C5
i2c1_scl,general,OFF,OFF,vddshv3,3.3,3.3,C20,I2C1,i2c1_scl,,true,false,true,I2C1_LOCAL
i2c1_sda,general,OFF,OFF,vddshv3,3.3,3.3,C21,I2C1,i2c1_sda,,true,false,true,I2C1_LOCAL
nmin_dsp,general,PD,PD,vddshv3,3.3,3.3,D21,INTC,nmin_dsp,,true,false,true,MyINTC1
