Item,Embest P/N,Part Type,QTY,Location,Manufacturer,Manufacture P/N,Description,Package
59,1004001100127,Ceramic Capacitor,11,"C114,C115,C127,C128,C132,C156,C194,C195,C196,C442,C456",MURATA,GRM188R61C475KAAJD,"CAP,4.7UF,+/-10%,X5R,16V,SMD0603",603
60,1004001100129,Ceramic Capacitor,23,"C4,C7,C37,C89,C90,C91,C113,C116,C120,C124,C130,C161,C170,C180,C198,C208,C291,C292,C295,C300,C344,C349,C461",MURATA,GRM188R61A106KE69D,"CAP,10UF,+/-10%,X5R,10V,SMD0603",603
61,1004001100130,Ceramic Capacitor,3,"C39,C96,C188",MURATA,GRM188R60J226MEA0D,"CAP,22UF,+/-20%,X5R,6.3V,SMD0603",603
62,1004001100164,Ceramic Capacitor,15,"C12,C26,C93,C94,C105,C111,C192,C263,C264,C265,C266,C293,C294,C297,C298",MURATA,GRM21BR60J476ME15L,"CAP,47UF,+/-20%,X5R,6.3V,SMD0805",805
63,1004001100185,Ceramic Capacitor,1,C326,MURATA,GRM32ER61A476ME20L,"CAP,47UF,+/-20%,X5R,10V,SMD1210",1210
64,1004001100198,Ceramic Capacitor,2,"C481,C482",MURATA,GRM32ER60J107ME20L,"CAP,100UF,+/-20%,X5R,6.3V,SMD1210,1000pcs/Reel",1210
65,1004001100239,Ceramic Capacitor,4,"C13,C14,C15,C16",MURATA,GRM1555C1H240JA01D,"CAP,24pF,+/-5%,C0G,50V,SMD0402",402
66,1004001100311,Ceramic Capacitor,1,C58,MURATA,GRM188R61A226ME15D,"CAP, CERM, 22uF, 10V, +/-20%, X5R, 0603",603
67,1004001100319,Ceramic Capacitor,8,"C51,C52,C68,C338,C341,C342,C343,C463",MURATA,GRM1555C1H150GA01D,"CAP,15pF,+/-2%,C0G,50V,SMD0402",402
68,1004001100345,Ceramic Capacitor,10,"C110,C112,C168,C176,C177,C183,C200,C215,C217,C296",Yageo,CC0402MRX5R5BB106,"CAP,10UF,+/-20%,X5R,6.3V,SMD0402",0402
69,1004001100401,Ceramic Capacitor,1,C268,MURATA,GRM1555C1H1R5CA01D,"Cap  Ceramic 1.5pF, +-0.25pF, 50V, C0G, 0402",0402
70,1005001100194,Inductor,7,"L16,L17,L18,L19,L20,L21,L22",Gausstek,DI20A102M1U,"Inductor,1uH,+/-20%,Ir=2.2A,Is=3.1,0.085ohm,SMD,2.5*2.0*1mm",SMD
71,1005004100057,Inductor,1,L30,TDK,VLS252012ET-4R7M,"Power Inductor,Magnetic shielded,4.7uH,1.05A,0.338ohm,2.5x2.0x1.2mm,SMD",2520
72,1005004100062,Inductor,1,L15,SUMIDA,CDRH2D18/HPNP-4R7NC,"Power Inductor,Magnetic shielded,4.7uH,1.2A,0.14ohm,3X3X1.8mm,SMD",3x3mm
73,1005004100077,Inductor,2,"L1,L2",GAUSSTEK,SP04O203M1U,"Power Inductor,Magnetic shielded,1uH,idc4.5A,27mohm,4.3x4.0x2.0mm,20%,SMD,TR",4.3x4.0x2.0mm
